experiment #,test_prediction,test_real
247,7,7
248,7,7
249,7,7
250,7,7
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,1,0
257,0,0
258,0,0
259,3,0
260,5,0
261,3,0
262,3,0
263,9,9
264,9,9
265,9,9
266,9,9
267,9,9
268,9,9
269,9,9
270,9,9
271,9,9
272,9,9
273,9,9
274,9,9
275,11,11
276,11,11
277,11,11
278,11,11
279,11,11
280,11,11
281,11,11
282,11,11
283,11,11
284,11,11
285,11,11
286,11,11
287,1,1
288,1,1
289,3,1
290,3,1
291,0,1
292,6,1
293,3,1
294,3,1
295,3,1
296,1,1
297,1,1
298,1,1
299,2,2
300,2,2
301,2,2
302,1,2
303,2,2
304,2,2
305,2,2
306,1,2
307,2,2
308,2,2
309,2,2
310,2,2
311,7,7
312,7,7
313,7,7
314,3,7
315,3,7
316,3,7
317,7,7
318,3,7
319,3,7
320,3,7
321,7,7
322,3,7
323,8,8
324,8,8
325,8,8
326,8,8
327,8,8
328,8,8
329,8,8
330,8,8
331,8,8
332,8,8
333,8,8
334,8,8
335,9,9
336,9,9
337,9,9
338,9,9
339,9,9
340,9,9
341,9,9
342,9,9
343,9,9
344,9,9
345,9,9
346,11,11
347,11,11
348,11,11
349,11,11
350,11,11
351,11,11
352,11,11
353,11,11
354,11,11
355,11,11
356,11,11
357,11,11
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,2,2
371,2,2
372,2,2
373,3,2
374,2,2
375,2,2
376,2,2
377,2,2
378,2,2
379,2,2
380,1,2
381,2,2
382,5,4
383,4,4
384,1,4
385,5,4
386,4,4
387,4,4
388,4,4
389,4,4
390,4,4
391,4,4
392,4,4
393,4,4
394,4,5
395,5,5
396,5,5
397,5,5
398,5,5
399,5,5
400,5,5
401,5,5
402,5,5
403,5,5
404,5,5
405,4,5
406,8,8
407,8,8
408,8,8
409,8,8
410,8,8
411,8,8
412,8,8
413,8,8
414,8,8
415,8,8
416,8,8
417,8,8
418,10,10
419,6,10
420,10,10
421,10,10
422,4,10
423,10,10
424,10,10
425,0,10
426,10,10
427,10,10
428,10,10
429,10,10
430,3,3
431,3,3
432,3,3
433,3,3
434,3,3
435,3,3
436,3,3
437,3,3
438,3,3
439,3,3
440,3,3
441,3,3
442,4,4
443,4,4
444,4,4
445,4,4
446,4,4
