experiment #,test_prediction,test_real
593,10,9
594,0,9
595,10,9
596,10,9
597,10,9
598,9,9
599,9,9
600,10,9
601,9,9
602,10,9
603,9,9
604,10,10
605,10,10
606,10,10
607,10,10
608,10,10
609,10,10
610,10,10
611,10,10
612,10,10
613,10,10
614,10,10
615,10,10
616,11,11
617,11,11
618,11,11
619,11,11
620,11,11
621,11,11
622,11,11
623,11,11
624,11,11
625,11,11
626,11,11
627,11,11
628,1,1
629,1,1
630,10,1
631,1,1
632,0,1
633,1,1
634,1,1
635,10,1
636,5,1
637,0,1
638,5,1
639,5,1
640,0,2
641,2,2
642,2,2
643,2,2
644,2,2
645,2,2
646,0,2
647,2,2
648,2,2
649,2,2
650,2,2
651,4,4
652,4,4
653,4,4
654,4,4
655,10,4
656,4,4
657,5,4
658,5,4
659,4,4
660,4,4
661,4,4
662,5,5
663,5,5
664,5,5
665,5,5
666,10,5
667,5,5
668,4,5
669,5,5
670,5,5
671,5,5
672,10,5
673,1,5
674,6,7
675,6,7
676,6,7
677,6,7
678,7,7
679,7,7
680,6,7
681,5,7
682,7,7
683,7,7
684,6,7
685,8,8
686,8,8
687,8,8
688,8,8
689,8,8
690,8,8
691,8,8
692,8,8
693,8,8
694,8,8
695,8,8
696,8,8
