experiment #,test_prediction,test_real
439,11,8
440,11,8
441,8,8
442,0,0
443,0,0
444,0,0
445,0,0
446,10,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,9,9
455,9,9
456,9,9
457,9,9
458,9,9
459,9,9
460,3,9
461,9,9
462,9,9
463,9,9
464,9,9
465,9,9
466,10,10
467,10,10
468,10,10
469,10,10
470,10,10
471,10,10
472,10,10
473,10,10
474,10,10
475,10,10
476,10,10
477,11,11
478,11,11
479,11,11
480,11,11
481,11,11
482,11,11
483,11,11
484,11,11
485,11,11
486,11,11
487,11,11
488,11,11
489,1,1
490,1,1
491,1,1
492,1,1
493,7,1
494,1,1
495,10,1
496,7,1
497,2,2
498,2,2
499,0,2
500,2,2
501,2,2
502,2,2
503,2,2
504,2,2
505,2,2
506,2,2
507,2,2
508,9,2
509,3,3
510,3,3
511,3,3
512,3,3
513,3,3
514,3,3
515,3,3
516,3,3
517,3,3
518,3,3
519,3,3
520,3,3
521,1,4
522,4,4
523,0,4
524,5,4
525,5,4
526,4,4
527,4,4
528,4,4
529,4,4
530,5,4
531,5,4
532,5,4
533,4,5
534,4,5
535,5,5
536,5,5
537,5,5
538,4,5
539,5,5
540,4,5
541,4,5
542,1,5
543,5,5
544,4,5
545,7,6
546,7,6
547,7,6
548,7,6
549,7,6
550,7,6
551,7,6
552,7,6
553,7,6
554,7,6
555,7,6
556,7,6
557,7,7
558,3,7
559,3,7
560,7,7
561,7,7
562,7,7
563,7,7
564,7,7
565,7,7
566,7,7
567,3,7
568,7,7
569,8,8
570,8,8
571,8,8
572,8,8
573,8,8
574,8,8
575,8,8
576,8,8
577,8,8
578,8,8
579,8,8
580,8,8
581,0,0
582,0,0
583,0,0
584,0,0
585,0,0
586,0,0
587,0,0
588,0,0
589,0,0
590,0,0
591,0,0
592,9,9
593,9,9
594,0,9
595,10,9
596,9,9
597,9,9
598,9,9
599,9,9
600,9,9
601,9,9
602,9,9
603,9,9
604,10,10
605,10,10
606,10,10
607,10,10
608,10,10
609,10,10
610,10,10
611,10,10
612,10,10
613,10,10
614,10,10
615,10,10
616,11,11
617,11,11
618,11,11
619,11,11
620,11,11
621,11,11
622,11,11
623,11,11
624,11,11
625,11,11
626,11,11
627,11,11
628,1,1
629,1,1
630,7,1
631,7,1
632,10,1
633,1,1
634,1,1
635,7,1
636,7,1
637,7,1
638,7,1
639,7,1
640,0,2
641,2,2
642,0,2
643,2,2
644,2,2
645,2,2
646,0,2
647,2,2
648,2,2
649,2,2
650,2,2
651,4,4
652,4,4
653,4,4
654,4,4
655,4,4
656,8,4
657,10,4
658,8,4
659,4,4
